obs_grid_id,d03_1_id,d03_1_dist,d03_2_id,d03_2_dist,d03_3_id,d03_3_dist
100059,1104581,0.968201261826144,1104582,2.1400431120551353,1104482,2.788157891411782
100045,1104980,1.2029555508159102,1104981,1.9034464314661836,1105079,2.858751138555595
100053,1104370,1.341302722426292,1104271,2.021330887196648,1104371,2.5345621162136927
100081,1104003,1.741549997036334,1103904,2.010491475787326,1104002,2.312360071591916
100002,1104174,0.6650334379344054,1104273,2.3538883517456233,1104175,2.96259320322511
100011,1104389,1.6850492804474675,1104388,1.9563096738577352,1104290,2.392464802790664
100079,1104670,0.44194616366822864,1104769,2.6757288032942887,1104671,2.7496859549766377
100070,1104370,1.4335342498989598,1104469,1.8421581201828843,1104369,2.6853742361424073
100046,1105274,1.2388535885823413,1105373,1.9590395934028118,1105275,2.714447112860105
100068,1104372,1.0962865519678326,1104273,1.9105766902850219,1104373,3.1778867453175543
100061,1104472,1.4043441729418975,1104373,2.1919732288950873,1104471,2.2974226191210305
100060,1104072,1.7673842139063238,1104171,1.8653503914915528,1104073,2.4557491183685607
100073,1104080,0.9099456254337156,1104179,2.320863670238998,1104079,2.592332376288728
100058,1104389,1.6856228184265394,1104388,1.955955723187379,1104290,2.392589374563271
100057,1107468,1.3762846202123487,1107369,2.1190435758764234,1107467,2.384100262380564
100055,1114473,1.0254044472892976,1114472,1.9612168322756829,1114374,3.109751941072068
100044,1104181,1.24040075850888,1104280,2.096459508985159,1104182,2.5295580891503566
100003,1104469,1.5445113907324783,1104470,1.7313591284812113,1104370,2.740599794535156
100051,1104272,1.5632206886927837,1104271,2.17279474001071,1104173,2.224418820313964
100050,1104469,1.8993516302039446,1104468,2.134631846328255,1104568,2.1392565843198543
100032,1104273,1.2630499648986588,1104274,1.7701188832898036,1104174,3.0703671082768245
100072,1104569,1.9596152295386535,1104470,2.123315271384738,1104568,2.1395116479561005
100031,1104569,1.5513362816282075,1104470,2.131937923158343,1104570,2.2712769605033536
100062,1104273,1.6332396104906806,1104174,1.718310876326765,1104272,2.6922687524806084
100074,1104369,1.6054250492855504,1104270,1.8179323699548124,1104370,2.589073199518238
100056,1109636,1.6753231703751796,1109635,1.8771135723635535,1109537,2.465159457268729
100082,1104675,0.8597781604631052,1104676,2.2343364452914147,1104774,2.793622225025025
100017,1109218,0.5718750821680277,1109317,2.440928918889818,1109217,2.927441372627825
100075,1104468,0.5009805747043061,1104469,2.647711176110932,1104567,2.7030592117790047
100076,1104375,1.7082863433188595,1104276,1.7164971236475612,1104376,2.6500805031309955
100067,1104272,0.7221737979327035,1104173,2.2872895729450526,1104273,3.0285386319510135
100080,1104285,1.280539765030714,1104284,2.01086999131049,1104384,2.6016608653779287
100030,1104076,1.6318432913249692,1104175,1.8035440850598823,1104075,2.589795362406417
100049,1104074,1.7256187718475795,1104073,1.7278292119638918,1104173,2.6273642543983593
100071,1104171,1.96637170905639,1104270,2.1266362112426003,1104172,2.136161091163383
100077,1105783,1.3458521986607381,1105784,1.7140261154140475,1105684,3.0139452200266326
100063,1104368,1.631085624302031,1104369,1.9617850279488882,1104269,2.4119962590196242
100000,1104304,0.45390541674438495,1104403,2.5807257831290795,1104305,2.892386227483945
100083,1104666,1.0204244464045749,1104567,2.1647045324124643,1104665,2.6727997493407134
100054,1104098,0.9368011206362659,1104097,2.163230565559158,1103999,2.7999686624576903
100052,1104686,1.6616214536526897,1104685,2.1090708034904297,1104785,2.241760083020811
100069,1104075,1.2985608700808686,1104174,1.73226567278716,1104074,3.092851339508943
100065,1104371,1.6558933179648243,1104372,2.0752654390911487,1104470,2.2796354908562857
100078,1104566,1.7260599866723916,1104567,1.892972419056049,1104467,2.4412832717658617
100084,1104878,0.8442113037264684,1104779,2.1652273257497154,1104877,3.0491916629263462
